"","solID","mape","decomp.rssd","nrmse","nrmse_train","display_thetas","paid_search_thetas","social_thetas","tv_thetas","display_alphas","paid_search_alphas","social_alphas","tv_alphas","display_gammas","paid_search_gammas","social_gammas","tv_gammas","cluster","n","top_sol"
"11","1_366_1",0,0.885162398968208,0.200136772192379,0.200136772192379,0.0608608217721923,0.699871977956843,0.740815929806471,0.429473171390491,0.310680508445216,0.161251802902304,0.224841343314123,0.559070279916255,0.127930798589872,0.485541113517628,0.66548549054553,0.689527047242208,4,23,FALSE
"12","1_369_1",0,0.469345507776297,0.202109877060846,0.202109877060846,0.670906314999675,0.522211657186697,0.437534242508367,0.278190544267009,0.0864297925192434,0.565231487780835,0.106264936762356,0.642942237844391,0.365503027140054,0.571152727210444,0.737414156318963,0.0286317430054949,3,37,FALSE
"13","1_376_1",0,0.387500915695393,0.202570580243212,0.202570580243212,0.784997312404488,0.76730451997517,0.634220440103229,0.302976872430859,0.546794390630562,0.54828601049792,0.321820380508259,0.257419494615994,0.869662737147768,0.220829211414139,0.607385214067681,0.484656075269738,3,37,FALSE
"14","1_388_1",0,1.04119207952975,0.200018594316656,0.200018594316656,0.133382435862666,0.640615283082968,0.489856401613677,0.209048835266504,0.25781401476481,0.0447205815840827,0.184976528040494,0.80227806365914,0.008780247033016,0.376720600156083,0.628341930008353,0.215468115129074,4,23,FALSE
"15","1_394_1",0,0.289593553137675,0.202641689426762,0.202641689426762,0.79162194498094,0.843038407543249,0.711814491057331,0.281883076768687,0.662815210955983,0.414268866750201,0.155315571410287,0.56386740057492,1,0.243737389704659,0.648892259239529,0.255436528181281,3,37,FALSE
"16","1_396_1",0,0.884444767761016,0.200135547697654,0.200135547697654,0.0608608217721923,0.699871977956843,0.363605770353232,0.432424265886317,0.310680508445216,0.161251802902304,0.224841343314123,0.652408066037909,0.127930798589872,0.485541113517628,0.932544970094508,0.680334812913116,4,23,FALSE
"17","1_413_1",0,0.712168195761965,0.200400739682937,0.200400739682937,0.169829236523414,0.45780592872544,0.809301415459509,0.485672918342882,0.064231692499995,0.0300133474209453,0.0931656314693203,0.408344319306238,0.289696621306528,0.289241720799904,0.796331695498472,0.360850636108438,4,23,TRUE
"18","1_415_1",0,0.47477130682616,0.201395290012413,0.201395290012413,0.353921509321655,0.290228948048813,0.210908428089003,0.439358505804645,0.312711577611841,0.47480167754321,0.516026537395903,0.0749398697585828,0.562949011613532,0.25752561217995,0.851693693659398,0.0692373444521491,3,37,FALSE
"19","1_423_1",0,0.597257400303074,0.200517137362723,0.200517137362723,0.279579280176801,0.657340523566751,0.0859863378057402,0.330673375631283,0.931653990527047,1,0.165900976268981,0.0773964128102767,0.473309963890413,0.838991646985495,0.587535073431654,0.788942605557221,3,37,FALSE
"20","1_424_1",0,0.430353324564966,0.202316287464381,0.202316287464381,0.79162194498094,0.646964117262599,0.554465532958728,0.281883076768687,0.662815210955983,0.427825248551142,0.0105854048144483,0.872285595157637,1,0.523996202341703,0.752915413085052,0.0488556445816626,3,37,FALSE
"21","1_425_1",0,0.565844461048556,0.201162243307888,0.201162243307888,0.376905193576026,0.315300352519058,0.501263016723684,0.325545525129146,0.260965959482577,0.97819930557346,0.734802530055514,0.487838466883526,0.254942655815048,0.415343739239746,0.687197357450811,0.0461021111087084,2,24,FALSE
"22","1_426_1",0,0.843176768126444,0.200124330306233,0.200124330306233,0.0608608217721923,0.773690328691822,0.267389390748694,0.444777862351583,0.310680508445216,0.161251802902304,0.326616747904676,0.484511379081435,0.127930798589872,0.485541113517628,0.674520559879483,0.142189249345817,4,23,FALSE
"23","1_430_1",0,0.357733473077384,0.202874287643038,0.202874287643038,1,0.658312348987644,0.663833315861444,0.498493843934542,0.0572274764324261,0.934631897690284,0.500938260812676,0.158819096763361,0.949926366766331,0.37485255086584,0.547552326338435,0.658510298084981,3,37,FALSE
"24","1_434_1",0,0.497182450994274,0.201923115006581,0.201923115006581,0.408831213150869,0.771952922428217,0.746790265853894,0.388510824857296,0.536190352086132,0.196523617378554,0.0829334536504356,0.358047229529077,0.746722643499718,0.291123503131149,0.284933925095731,0.144882707212465,3,37,FALSE
"25","1_443_1",0,0.81721131266757,0.200266315045564,0.200266315045564,0.123192303431277,0.45780592872544,0.809301415459509,0.515918243739408,0.00446971177790939,0,0.0931656314693203,0.38099000883195,0.143787013390937,0.52054524454338,0.796331695498472,0.643408858231994,4,23,FALSE
"26","1_444_1",0,1.06512573131805,0.198807599716819,0.198807599716819,0,0.562193865996863,0.554746217373606,0.23253456145223,0.884504084782138,0.240046249540599,0.914242980591218,0.443459606993346,0.0767969623386769,0.874379744622832,0.638203523171016,0.101099401581564,2,24,FALSE
"27","1_449_1",0,0.600866410504675,0.201061058623572,0.201061058623572,0.0888483808292952,0.599406178544727,0.050845789752964,0.502986654836162,0.262930172141936,0.390714232439817,0.643885802474303,0.123570439252787,0.468251513320085,0.199891970775317,0.726921163987974,0.0988635470828788,4,23,FALSE
"28","1_453_1",0,0.454475138731997,0.201761486938547,0.201761486938547,0.503242704340174,0.73345784957279,0.0859863378057402,0.409184427026256,0.969373915122975,0.900046781129156,0.426229248519718,0.13159120047075,0.790520365174169,0.810681168737885,0.547000313662414,0.775122737193056,3,37,FALSE
"29","1_456_1",0,0.847823998314572,0.200124126319236,0.200124126319236,0.0608608217721923,0.773690328691822,0.57503984408389,0.444777862351583,0.310680508445216,0.161251802902304,0.326616747904676,0.131465095635646,0.127930798589872,0.485541113517628,0.753985961214918,0.142189249345817,4,23,FALSE
"30","1_457_1",0,0.788918984126517,0.200678967468098,0.200678967468098,0.0314727325321337,0.680647258196885,0.809716661804334,0.524590211419892,0,0.459090675686101,0.494312556073442,0.306379404306102,0.151263956803224,0.038187113132197,0.625849660376783,0.641258501351429,4,23,FALSE
"31","1_460_1",0,0.357733473077384,0.202874287643038,0.202874287643038,1,0.658312348987644,0.663833315861444,0.498493843934542,0.0572274764324261,0.934631897690284,0.513008882120416,0.158819096763361,0.949926366766331,0.37485255086584,0.790865420217455,0.658510298084981,3,37,FALSE
"32","1_462_1",0,0.320536125497917,0.202369729086703,0.202369729086703,0.496454857042656,0.870954762749592,0,0.246128023766352,0.877451687983371,0.428372588447069,0.529485905524844,0,0.816666606441825,0.382132928746627,0.490923698237265,0.960294604838724,3,37,FALSE
"33","1_465_1",0,0.68108002805915,0.200819003877964,0.200819003877964,0.163421224318872,0.412441239016321,0.684098440088441,0.442255646352432,0.262457056077715,0.362530801743451,0.989789391436748,0.089864535005244,0.624823181401919,0.606615468665609,0.63754949325677,0.522189221119738,4,23,FALSE
"34","1_470_1",0,0.411526530817746,0.202154476555534,0.202154476555534,0.486349940342062,0.831849092430437,0.743919492443659,0.368639683590487,0.0146807028584121,0.246960847194983,0.0742906355692056,0.913081973940488,0.639294628412448,0.147882103037186,0.279652837424828,0.0785113871177606,4,23,FALSE
"35","1_473_1",0,0.807262309690067,0.200596095519257,0.200596095519257,0.123192303431277,0.777061280396731,0.809301415459509,0.515918243739408,0.00446971177790939,0,0.209542183080866,0.38099000883195,0.143787013390937,0.52054524454338,0.796331695498472,0.643408858231994,4,23,FALSE
"36","1_475_1",0,0.475329706989296,0.201395451076537,0.201395451076537,0.353921509321655,0.290228948048813,0.106181734720547,0.439358505804645,0.312711577611841,0.47480167754321,0.782477431027989,0.0625996831989539,0.562949011613532,0.25752561217995,0.652228588212801,0.0692373444521491,3,37,FALSE
"37","1_479_1",0,0.824542428625517,0.199798110463348,0.199798110463348,0.0525630568555156,0.151599980971505,0.050845789752964,0.42222454407212,0.0422829868890364,0.164675543964928,0.450168290907185,0.123570439252787,0,0,0.894607224249339,0.0988635470828788,4,23,FALSE
"38","1_480_1",0,0.740501566529375,0.20050594204395,0.20050594204395,0.174843765425681,0.522922821964957,0.598139747562109,0.160912760555793,0.247717522348818,0.223592889157775,0.832743490093046,0.101925016548953,0.331955261592552,0.365776929484624,0.394938625087116,0.930891089959678,4,23,FALSE
"39","1_483_1",0,0.493508725124671,0.201382154590619,0.201382154590619,0.503242704340174,0.512936312944782,0.664638399974182,0.470375220027827,0.969373915122975,0.900046781129156,0.159778354887632,0.352993695539141,0.790520365174169,0.810681168737885,0.746465419109012,0.44370505634711,3,37,FALSE
"40","1_489_1",0,0.474693590177092,0.201202508909192,0.201202508909192,0.422469677756745,0.604015662099244,0.437534242508367,0.285829203456733,0.989299921707166,0.866337833041441,0.497223146610644,0.642942237844391,0.644759447536338,0.89113889081747,0.737414156318963,0.179422891624013,2,24,FALSE
